Daily Deflector Waterlight Broad Spectrum SPF 50+ PA+++ Anti-Aging Sunscreen,"Normal","Dry","Combination","Oily","Sensitive"
Moisturizing Skin Guardian,"Normal","Combination"
Vital-Ice Cream,"Normal","Combination","Oily"
Ultra Facial Overnight Hydrating Mask,"Normal","Combination","Oily"
Ultra Rich Face Cream,"Normal","Dry","Combination","Oily","Sensitive"
Immortelle Divine Cream,"Normal","Dry","Combination","Oily"
Shea Light Comforting Cream,"Normal","Dry","Combination","Oily"
Divine Eyes,"Normal","Dry","Combination","Oily"
Crème Radiance Gentle Cleansing Creamy-Foam Cleanser,"Normal","Dry","Combination","Oily","Sensitive"
MOUSSE RADIANCE Clarifying Self-Foaming Cleanser,"Normal","Dry","Combination","Oily"
Tonique Douceur Softening Hydrating Toner with Rose Water,"Normal","Dry","Combination","Oily"
Aglow Cleansing Butter,"Normal","Dry","Combination","Oily"
AHA/BHA Exfoliating Cleanser,"Normal","Combination","Oily"
Advanced Active Radiance® Serum,"Normal","Dry","Combination","Oily"
Essential-C Cleanser,"Normal","Dry","Combination","Oily","Sensitive"
Hydro-Dynamic® Ultimate Moisture,"Normal","Dry","Sensitive"
Post-Acne Spot Lightening Gel,"Normal","Dry","Combination","Oily"
Anti-Aging Moisturizer SPF 30 PA+++,"Normal","Dry","Combination","Oily"
Renewing Eye Cream,"Normal","Dry","Combination","Oily","Sensitive"
Clarifying Body Spray,"Normal","Combination","Oily","Sensitive"
Essential-C Toner,"Normal","Dry","Combination","Oily"
Clarifying Toner,"Combination","Oily"
Renewing Cleansing Cream,"Normal","Dry","Combination","Oily"
Rapid Collagen Infusion,"Normal","Dry","Combination","Oily"
Advanced Acne & Wrinkle Reducer,"Normal","Dry","Combination","Oily"
Essential-C Eye Cream SPF 15 PA++,"Normal","Dry","Combination","Oily"
Resurgence Age-Balancing Night Cream,"Normal","Dry","Combination","Oily"
Hydrating Toner,"Normal","Combination","Oily"
Refreshing Cleanser,"Normal"
Gel Primer 24K Gold Complex - Firm,"Normal","Dry","Combination"
Thermal Cleansing Balm,"Normal","Dry","Combination","Oily","Sensitive"
Rejuvenating Night Cream,"Normal","Dry","Combination","Oily"
Reviving Eye Cream,"Normal","Dry","Combination","Oily"
Eye Doctor Moisture Care For Skin Around Eyes,"Normal","Dry","Combination","Oily"
Plantscription Anti-Aging Cleanser,"Normal","Dry","Combination","Oily"
Zero Oil Pore Purifying Toner,"Normal","Dry","Combination","Oily"
A Perfect World Age-Defense Treatment Lotion with White Tea,"Normal","Dry","Combination","Oily"
Maskimizer Skin-Optimizing Mask Primer,"Normal","Dry"
No:Rinse DMAE Firming Pads,"Normal","Combination","Oily"
Anti-Aging Cleansing Gel,"Normal","Dry","Combination","Oily"
Retinol Fusion PM,"Normal","Dry","Combination","Oily"
Instant FIRMx Eye,"Normal","Dry","Combination","Oily"
Instant Firmx,"Normal","Dry","Combination","Oily"
AHA/BHA Acne Clearing Gel,"Normal","Dry","Combination","Oily"
Ultimate Miracle Worker Night,"Normal","Dry","Combination","Oily"
Help Me,"Normal","Dry","Combination","Oily"
Turbo Booster C Powder,"Normal","Dry","Combination","Oily"
Ultimate Miracle Worker Eye Cream,"Normal","Dry","Combination","Oily"
Take a Deep Breath Oil-Free Oxygenating Gel Cream,"Normal","Dry","Combination","Oily","Sensitive"
Adapalene Gel 0.1% Acne Treatment,"Normal","Dry","Combination","Oily"
Bio Retinoid Anti-Wrinkle Concentrate Oil,"Normal","Dry","Combination","Oily"
V-Cense Revitalising Night Cream,"Normal","Dry","Combination","Oily","Sensitive"
Bio Retinoid Anti-Ageing Cream,"Normal","Dry","Combination","Oily"
Clarimatte T-Zone Control Cleansing Gel,"Normal","Dry","Oily","Sensitive"
Flash Rinse 1 Minute Facial,"Normal","Dry","Combination","Oily"
Vita-Mineral Daily Supplement Moisturising Cream,"Normal","Dry","Combination","Oily","Sensitive"
Vita Mineral Active 7 Eye Gel ,"Normal","Dry","Combination","Oily","Sensitive"
V-Cense Youth Vitality Day Cream,"Normal","Dry","Combination","Oily"
Beauty Oil,"Normal"
Multi-Purpose Oil,"Normal","Dry","Combination","Oily"
Oil-in-Foam Cleanser,"Normal","Dry","Combination","Oily"
Bio-Performance Advanced Super Revitalizing Cream,"Normal","Dry","Combination","Oily"
White Lucent Brightening Cleansing Foam,"Normal","Combination","Oily"
Benefiance NutriPerfect Night Cream,"Normal","Dry","Combination","Oily","Sensitive"
Bio-Performance Glow Revival Cream,"Normal","Dry","Combination","Oily"
Eudermine Revitalizing Essence ,"Normal","Dry","Combination","Oily"
White Lucent Anti-Dark Circles Eye Cream,"Normal","Dry","Combination","Oily","Sensitive"
WASO: Eye Opening Essence,"Normal","Dry","Combination"
Perfect Cleansing Oil,"Normal","Dry","Combination","Oily","Sensitive"
Urban Environment UV Protection Cream Broad Spectrum SPF 40 For Face/Body,"Normal","Combination","Oily","Sensitive"
Bio-Performance Glow Revival Serum,"Normal","Dry","Combination","Oily"
Ultimate Sun Protection Lotion Broad Spectrum SPF 50+ WetForce for Sensitive Skin & Children,"Normal","Dry","Combination","Oily"
Future Solution LX Replenishing Treatment Oil,"Normal","Dry","Combination","Oily"
Bio-Performance LiftDynamic Serum,"Normal","Dry","Combination","Oily"
Bio Performance Glow Revival Eye Treatment,"Normal","Dry","Combination","Oily"
Future Solution LX Superior Radiance Serum,"Dry","Combination","Oily"
Ultimate Revival Cream,"Normal","Dry","Combination","Oily","Sensitive"
Blue Moon Tranquility Cleansing Balm,"Normal","Dry","Combination","Oily"
Mattescreen Sunscreen SPF 40,"Normal","Combination","Oily"
Poof 100% Mineral Part and Scalp Powder SPF 45,"Normal","Dry","Combination","Oily"
PLAY 100% Mineral Broad Spectrum Lotion SPF 50,"Normal","Dry","Combination","Oily"
SEA 4-in-1 Setting Mist,"Normal","Dry","Combination"
Luminous Deep Hydration Firming Serum,"Normal","Dry","Combination","Oily"
Luminous Deep Hydration Firming Eye Serum,"Normal","Dry","Combination","Oily"
Skin Revitalizing Concentrate,"Normal","Dry","Combination","Oily"
SOS Save.Our.Skin Daily Rescue Facial Spray,"Normal","Dry","Combination","Oily"
Glow Getter Mist,"Normal","Combination","Oily"
Supreme Cleansing Oil,"Normal","Dry","Combination","Oily","Sensitive"
