epcho,loss,acc
350,0.42273697,0.83125
351,0.31400546,0.86875
352,0.38608354,0.846875
353,0.3874551,0.840625
354,0.35482007,0.865625
355,0.46545753,0.8
356,0.3524197,0.85625
357,0.38454527,0.83125
358,0.41703385,0.81875
359,0.40383387,0.83125
360,0.2963803,0.91875
361,0.35573354,0.846875
362,0.4105727,0.828125
363,0.30213246,0.878125
364,0.39313346,0.834375
365,0.34930673,0.840625
366,0.36060753,0.8375
367,0.41427368,0.83125
368,0.30428666,0.8875
369,0.3985443,0.821875
370,0.3688242,0.84375
371,0.38285914,0.825
372,0.3856426,0.8125
373,0.36162138,0.840625
374,0.36871585,0.853125
375,0.3293841,0.88125
376,0.3508002,0.853125
377,0.33483586,0.86875
378,0.29398435,0.890625
379,0.3669228,0.85625
380,0.32227072,0.878125
381,0.34579077,0.8375
382,0.33614892,0.846875
383,0.3539855,0.85
384,0.38700014,0.834375
385,0.36367464,0.875
386,0.36309823,0.846875
387,0.3341849,0.88125
388,0.3643666,0.846875
389,0.32219383,0.875
390,0.37051553,0.8375
391,0.26267046,0.88125
392,0.28062493,0.88125
393,0.3593009,0.840625
394,0.39937735,0.821875
395,0.3465882,0.846875
396,0.33599365,0.85
397,0.2715794,0.9
398,0.28764328,0.9
399,0.322855,0.865625
400,0.37833816,0.8125
401,0.3747162,0.84375
402,0.3547781,0.865625
403,0.3530536,0.85625
404,0.3490372,0.840625
405,0.2956435,0.88125
406,0.27499115,0.890625
407,0.29164374,0.871875
408,0.37970823,0.834375
409,0.35886818,0.846875
410,0.32630086,0.853125
411,0.3093872,0.86875
412,0.3069117,0.878125
413,0.3075687,0.86875
414,0.36437348,0.83125
415,0.2958612,0.875
416,0.33791423,0.846875
417,0.25380036,0.896875
418,0.3462181,0.865625
419,0.2999746,0.871875
420,0.32448167,0.85
421,0.31451774,0.871875
422,0.25382286,0.9
423,0.28818923,0.865625
424,0.282658,0.878125
425,0.30805594,0.865625
426,0.28790522,0.871875
427,0.34546298,0.840625
428,0.27410275,0.884375
429,0.23881169,0.91875
430,0.31733957,0.84375
431,0.29100648,0.878125
432,0.3401386,0.84375
433,0.303162,0.875
434,0.33602563,0.875
435,0.25740632,0.90625
436,0.28608924,0.878125
437,0.3497836,0.853125
438,0.24043469,0.915625
439,0.30707946,0.85625
440,0.2879848,0.871875
441,0.2465672,0.896875
442,0.31938303,0.846875
443,0.26445857,0.89375
444,0.24183306,0.91875
445,0.25238556,0.890625
446,0.30206957,0.878125
447,0.23643143,0.909375
448,0.28693098,0.875
449,0.37479043,0.821875
450,0.30520982,0.8875
451,0.2762899,0.890625
452,0.25990838,0.896875
453,0.2645195,0.9
454,0.26731324,0.909375
455,0.25808483,0.88125
456,0.22848463,0.909375
457,0.2437458,0.9
