epcho,loss,acc
537,0.17240517,0.94375
538,0.17328371,0.934375
539,0.20874485,0.909375
540,0.13179898,0.95625
541,0.20896995,0.903125
542,0.18884626,0.91875
543,0.22869372,0.909375
544,0.16896272,0.93125
545,0.16760008,0.95
546,0.1804623,0.940625
547,0.1615994,0.959375
548,0.1403963,0.953125
549,0.20700812,0.925
550,0.17992887,0.934375
551,0.19194467,0.91875
552,0.13569841,0.959375
553,0.22942881,0.9125
554,0.22050896,0.90625
555,0.15265816,0.9625
556,0.14877522,0.959375
557,0.20176451,0.9125
558,0.17225759,0.925
559,0.1956679,0.91875
560,0.17527054,0.925
561,0.17220183,0.934375
562,0.16424438,0.9375
563,0.16326709,0.928125
564,0.15312943,0.95625
565,0.14050205,0.95625
566,0.15839955,0.94375
567,0.18113272,0.93125
568,0.14817458,0.953125
569,0.1719518,0.9375
570,0.15796551,0.95625
571,0.15303698,0.94375
572,0.13009492,0.9625
573,0.13907853,0.95
574,0.15437227,0.928125
575,0.16430846,0.940625
576,0.18226935,0.91875
577,0.15955998,0.953125
578,0.14619915,0.96875
579,0.15941076,0.953125
580,0.18456468,0.91875
581,0.17543417,0.940625
582,0.15264139,0.95
583,0.14062098,0.940625
584,0.13704638,0.959375
585,0.16239175,0.9375
586,0.16504177,0.946875
587,0.18254176,0.93125
588,0.14946358,0.9625
589,0.1300493,0.95625
590,0.15025929,0.959375
591,0.15620364,0.94375
592,0.14167209,0.94375
593,0.1397876,0.94375
594,0.1541359,0.940625
595,0.12434395,0.953125
596,0.14173774,0.95
597,0.15382381,0.95
598,0.13085225,0.975
599,0.14407086,0.95625
600,0.16636884,0.93125
601,0.14920473,0.946875
602,0.13433687,0.959375
603,0.12981991,0.96875
604,0.13445076,0.9625
605,0.12315228,0.95
606,0.12922922,0.95625
607,0.16579401,0.9375
608,0.12882797,0.965625
609,0.13095711,0.953125
610,0.1434364,0.95
611,0.14322938,0.95
612,0.14848809,0.95
613,0.13241687,0.965625
614,0.12667985,0.95625
615,0.17101717,0.93125
616,0.12430632,0.9625
617,0.11987243,0.965625
618,0.11411102,0.96875
619,0.14571238,0.934375
620,0.10986154,0.965625
621,0.13939402,0.94375
622,0.11270251,0.965625
623,0.15159898,0.934375
624,0.12211837,0.96875
625,0.12083745,0.965625
626,0.13278624,0.959375
627,0.12253668,0.971875
628,0.16739446,0.934375
629,0.14633206,0.928125
630,0.15404876,0.9375
631,0.121928975,0.971875
632,0.09992869,0.9875
633,0.11975002,0.9625
634,0.1343414,0.9625
635,0.13484684,0.953125
636,0.121844724,0.959375
637,0.10035944,0.975
638,0.113643646,0.965625
639,0.15257712,0.940625
640,0.09341182,0.965625
641,0.10467596,0.959375
642,0.104673125,0.96875
643,0.13375561,0.953125
644,0.13501036,0.953125
645,0.09457488,0.99375
646,0.10405286,0.9875
647,0.121408224,0.971875
648,0.13095078,0.965625
649,0.09538054,0.98125
650,0.11216972,0.965625
651,0.10936008,0.975
652,0.11427586,0.959375
653,0.09638296,0.971875
654,0.1408693,0.95
655,0.102711394,0.971875
656,0.10389314,0.965625
657,0.08679854,0.98125
658,0.11303556,0.96875
659,0.09580421,0.975
660,0.15327612,0.9625
661,0.11279714,0.971875
662,0.09742047,0.975
663,0.09795598,0.965625
664,0.121025264,0.971875
665,0.122765884,0.965625
666,0.11780627,0.971875
667,0.09253178,0.978125
668,0.115679964,0.965625
669,0.09105684,0.975
670,0.08778116,0.978125
671,0.11237568,0.96875
672,0.105957985,0.975
673,0.11155443,0.965625
674,0.0941237,0.971875
675,0.08086325,0.98125
676,0.113014996,0.975
677,0.10210285,0.965625
678,0.09589803,0.959375
679,0.10862422,0.95625
680,0.09703348,0.96875
681,0.091313876,0.98125
682,0.1181793,0.9625
683,0.09253,0.978125
684,0.07531245,0.99375
685,0.10653229,0.959375
686,0.098564744,0.975
687,0.124346256,0.965625
688,0.102617696,0.959375
689,0.085075304,0.975
690,0.13176909,0.94375
691,0.07796244,0.99375
692,0.116524555,0.9625
693,0.08566843,0.990625
694,0.08587289,0.978125
695,0.112881586,0.9625
696,0.116295196,0.94375
697,0.08686431,0.98125
698,0.08777632,0.975
699,0.094487265,0.971875
700,0.08755501,0.978125
701,0.08867298,0.971875
702,0.11928637,0.95625
703,0.10017657,0.971875
704,0.08933402,0.9625
705,0.09650086,0.96875
706,0.10493696,0.9625
707,0.08951059,0.971875
708,0.06555731,0.99375
709,0.08134506,0.978125
710,0.10224106,0.978125
711,0.0898578,0.990625
712,0.094611555,0.978125
713,0.08333569,0.978125
714,0.11065292,0.946875
715,0.10553707,0.95625
716,0.09788863,0.9625
717,0.10032129,0.965625
718,0.10438492,0.959375
719,0.081343845,0.975
720,0.11554134,0.9625
721,0.08674647,0.9875
722,0.08424421,0.984375
723,0.0806874,0.96875
724,0.07062982,0.978125
725,0.10093646,0.9625
726,0.06598391,0.9875
727,0.09192511,0.975
728,0.1038601,0.978125
729,0.102918364,0.975
730,0.08858894,0.98125
731,0.09448917,0.984375
732,0.10442722,0.975
733,0.07840503,0.9875
734,0.09781562,0.971875
735,0.063116275,0.98125
736,0.103947386,0.953125
737,0.08366835,0.965625
738,0.091313906,0.975
739,0.079566866,0.98125
740,0.091239735,0.96875
741,0.06667903,0.984375
742,0.07808515,0.984375
743,0.07621981,0.98125
744,0.08280633,0.975
745,0.0961554,0.965625
746,0.09264197,0.9625
747,0.09469557,0.9625
748,0.106060505,0.9625
749,0.0871193,0.984375
750,0.0688632,0.9875
751,0.0910334,0.990625
752,0.078988865,0.9875
753,0.0753055,0.9875
754,0.087173335,0.975
755,0.053798746,0.98125
756,0.07708247,0.978125
757,0.069585785,0.98125
758,0.068742305,0.98125
759,0.09091136,0.975
760,0.10148444,0.965625
761,0.07845904,0.984375
762,0.081118666,0.98125
763,0.09112434,0.975
764,0.11205015,0.9625
765,0.082225546,0.9875
766,0.05796219,0.990625
767,0.08734673,0.975
768,0.11483173,0.95625
769,0.0723243,0.99375
770,0.041810587,0.996875
771,0.092742994,0.971875
772,0.081644885,0.978125
773,0.069404885,0.990625
774,0.06623294,0.990625
775,0.070273295,0.990625
776,0.07143704,0.98125
777,0.09226145,0.96875
778,0.065065704,0.98125
779,0.07693608,0.978125
780,0.08253018,0.98125
781,0.044403765,0.996875
782,0.086508155,0.978125
783,0.05270925,0.996875
784,0.0891754,0.975
785,0.05253297,0.996875
786,0.080685794,0.978125
787,0.06100571,0.98125
788,0.06486085,0.984375
789,0.057752777,0.978125
790,0.0638172,0.990625
791,0.08949698,0.975
792,0.07272296,0.9875
793,0.069785714,0.990625
794,0.06600262,0.9875
795,0.055628292,0.9875
